mlfb,fw,status,note
6ES7 145-1GB31-0XB0,,discontinued 10/08,13.2 AO | ET 200X EM 145 AO 2x I
6ES7 141-1BF11-0XB0,,listed,13.3 BM_DI | ET 200X BM 141
6ES7 142-1BD21-0XB0,,discontinued 11/02,13.4 BM_DO | ET 200X BM 142 DO 4xDC24V/2A
6ES7 141-1BF30-0XA0,,listed,13.5 DI | ET 200X EM 141
6ES7 141-1BF40-0XA0,,listed,13.5 DI | ET 200X EM 141
6ES7 142-1BD40-0XB0,,listed,13.6 DO | ET 200X EM 142
6ES7 142-1BF30-0XA0,,listed,13.6 DO | ET 200X EM 142
6ES7 148-1CA00-0XB0,,discontinued 10/08,13.7 PS | ET 200X PM 148
6ES7 148-1EH01-0XA0,,listed,13.8 Valve | ET 200X EM 148-P
6ES7 148-1EH11-0XA0,,listed,13.8 Valve | ET 200X EM 148-P
6ES7 144-4FF00-0AB0,,discontinued 03/14,14.1 AI | ET 200PRO EM 144 AI 4 x U
6ES7144-4FF01-0AB0,,listed,14.1 AI | ET 200PRO EM 144 4AI-U HF
6ES7 144-4GF00-0AB0,,discontinued 03/14,14.1 AI | ET 200PRO EM 144 AI 4 x I
6ES7144-4GF01-0AB0,,listed,14.1 AI | ET 200PRO EM 144 4AI-I HF
6ES7 144-4JF00-0AB0,,listed,14.1 AI | ET 200PRO EM 144 AI 4 x RTD
6ES7 144-4PF00-0AB0,,listed,14.1 AI | ET 200PRO EM 144 AI 4 x TC HF
6ES7 145-4FF00-0AB0,,listed,14.2 AO | ET 200PRO EM 145
6ES7 145-4GF00-0AB0,,listed,14.2 AO | ET 200PRO EM 145
6ES7 141-4BF00-0AB0,,listed,14.3 DI | ET 200PRO EM 141
6ES7 142-4BD00-0AB0,,listed,14.4 DO | ET 200PRO EM 142
6ES7 148-4FA00-0AB0,,listed,14.5 F_DI | ET 200PRO EM 148 F-DI 8/16xDC 24V
6ES7 148-4FC00-0AB0,,listed,14.6 F_DI/DO | ET 200PRO EM 148
6ES7 154-2AA00-0AB0,,discontinued 05/10,14.7 IM | ET 200PRO IM154-2 DP HF
6ES7 154-2AA01-0AB0,,listed,14.7 IM | ET 200PRO IM154-2 DP HF
6ES7 148-4CA00-0AA0,,listed,14.8 PS | ET 200PRO PM-E DC24V
6ES7 148-4PC00-0HA0,,listed,14.8 PS | ET 200PRO PS 24 V/8 A
6ES7 194-4AA00-0AA0,,listed,14.9 Connection modules | CM IM DP ECOFAST
6ES7 194-4AC00-0AA0,,listed,14.9 Connection modules | CM IM DP Direkt
6ES7 194-4AD00-0AA0,,listed,"14.9 Connection modules | CM IM DP M12 / 7/8"""
6ES7 194-4BA00-0AA0,,listed,14.9 Connection modules | CM PM ECOFAST
6ES7 194-4BC00-0AA0,,listed,14.9 Connection modules | CM PM Direkt
6ES7 194-4BD00-0AA0,,listed,"14.9 Connection modules | CM PM 7/8"""
6ES7 194-4CA00-0AA0,,listed,14.9 Connection modules | CM IO 4 x M12
6ES7 194-4CB00-0AA0,,listed,14.9 Connection modules | CM IO 8 x M12
6ES7 194-4DC00-0AA0,,listed,14.9 Connection modules | CM 12×M12 für 4/8 F-DI/4 F-DO
6ES7 194-4DD00-0AA0,,listed,14.9 Connection modules | CM 16×M12 für 8/16 F-DI
6ES7 158-3AD10-0XA0,,listed,15.1 PN/PN Coupler | PN/PN Coupler
6GK5 204-2AA00-2YF2,,listed,15.3 Y switch | Scalance XF204-2BA DNA
6ES7 157-0AA80-0XA0,,discontinued 06/00,15.4 PA Link | IM 157
6ES7 157-0AA81-0XA0,,discontinued 12/03,15.4 PA Link | IM 157
6ES7 157-0AA82-0XA0,V4.x,discontinued 06/06,15.4 PA Link | IM 157
6ES7 153-2DA80-0XB0,,discontinued 10/17,15.5 FF Link | IM 153-2 FF Outdoor
6ES7 157-0AC84-0XA0,,discontinued 10/16,15.5 FF Link | FDC 157
6ES7 157-0AC85-0XA0,,listed,15.5 FF Link | FDC 157
6ES7 655-5BA00-0AB0,,listed,15.6 Compact FF Link | Compact FF Link
6ES7 654-0YK00-0AB0,,discontinued 10/06,15.7 Y Link | Y coupler
6ES7 197-1LB00-0XA0,,listed,15.7 Y Link | Y coupler
6ES7 197-1LA12-0XA0,,listed,15.7 Y Link | Y Link
6ES7 157-0AC00-0XA0,,discontinued 04/00,15.8 DP/PA coupler | DP/PA coupler
6ES7 157-0AC80-0XA0,,discontinued 05/04,15.8 DP/PA coupler | DP/PA coupler
6ES7 157-0AC81-0XA0,,discontinued 04/05,15.8 DP/PA coupler | DP/PA coupler
6ES7 157-0AC82-0XA0,,discontinued 07/07,15.8 DP/PA coupler | DP/PA coupler
6ES7 157-0AC83-0XA0,,discontinued 10/16,15.8 DP/PA coupler | DP/PA coupler
6ES7 157-0AD00-0XA0,,discontinued 07/01,15.8 DP/PA coupler | DP/PA coupler
6ES7 157-0AD80-0XA0,,discontinued 12/03,15.8 DP/PA coupler | DP/PA coupler
6ES7 157-0AD81-0XA0,,discontinued 05/04,"15.8 DP/PA coupler | DP/PA coupler, ex"
6ES7 157-0AD82-0XA0,,listed,"15.8 DP/PA coupler | DP/PA coupler, ex"
6ES7 157-0AG80-0XA0,,listed,15.10 Active field distributors | Active field distribu tor AFS
6ES7 157-0AG81-0XA0,,listed,15.10 Active field distributors | Active field distributor AFD4
6ES7 157-0AG82-0XA0,,listed,15.10 Active field distributors | Active field distributor AFD8
6ES7 655-5DX40-1AA1,,listed,15.10 Active field distributors | Active field distributor AFD4 FM
6ES7 655-5DX40-2AA0,,listed,15.10 Active field distributors | Active field distributor AFD4 RAILMOUNT
6ES7 655-5DX60-1BB0,,listed,15.10 Active field distributors | Active field distributor AFDiSD
6AG1 195-7HA00-2XA0,,listed,15.11 Accessories | BM PS/IM SIPLUS ex treme
6ES7 195-7HD80-0XA0,,listed,15.11 Accessories | BM IM/IM
6ES7 195-7HE80-0XA0,,discontinued 07/14,15.11 Accessories | BM
6ES7 195-7HF80-0XA0,,listed,15.11 Accessories | BM FDC
6ES7 195-7HG80-0XA0,,listed,15.11 Accessories | BM FDC/FDC
6ES7 654-7HY00-0XA0,,listed,15.11 Accessories | BM
6ES7655-5EF00-0AA0,,listed,15.11 Accessories | BM Compact FF Link
6ES7 972-0AB00-0XA0,,discontinued 02/03,16.1 Repeater | Diagnostic Repeater
6ES7 972-0AB01-0XA0,,listed,16.1 Repeater | Diagnostic Repeater
6ES7 972-0AA01-0XA0,,discontinued 05/11,16.1 Repeater | RS 485 repeater
6ES7 972-0AA02-0XA0,,listed,16.1 Repeater | RS 485 repeater
6ES7 652-0XX01-1XF1,,listed,18.2 Network adapter | Redundant terminal bus adapter PCI-E
6ES7652-0XX02-1XC0,,listed,18.5 Chip card reader | SIMATIC PCS 7 USB Chip Card Reader; chip card reader in tabletop version including USB connecting cable
6ES7652-0XX00-1XD2,,listed,18.5 Chip card reader | SIMATIC PCS 7 TCOS 3.0 chip card for chip card read er
6ES7 341-1AH01-0AE0,,discontinued 12/08,20.1 CP PtP | CP341-1A
6ES7 341-1AH02-0AE0,,listed,20.1 CP PtP | CP341-1A
6ES7 341-1BH01-0AE0,,discontinued 12/08,20.1 CP PtP | CP341-1B
6ES7 341-1BH02-0AE0,,listed,20.1 CP PtP | CP341-1B
6ES7 341-1CH01-0AE0,,discontinued 12/08,20.1 CP PtP | CP341-1C
6ES7 341-1CH02-0AE0,,listed,20.1 CP PtP | CP341-1C
6ES7 350-1AH03-0AE0,V1.0.2,listed,20.2 FM | FM350-1 COUNTER
6ES7 350-2AH00-0AE0,,discontinued 10/08,20.2 FM | FM350-2 COUNTER
6ES7 350-2AH01-0AE0,,listed,20.2 FM | FM350-2 COUNTER
6ES7 355-0VH10-0AE0,,listed,20.2 FM | FM355 C
6ES7 355-1VH10-0AE0,,listed,20.2 FM | FM355 S PID Control
6ES7 355-2CH00-0AE0,,listed,20.2 FM | FM355-2 C
6ES7 355-2SH00-0AE0,,listed,20.2 FM | FM355-2 S
6ES7 307-1BA00-0AA0,,discontinued 08/10,20.3 PS | PS307 2A
6ES7 307-1BA01-0AA0,,listed,20.3 PS | PS307 2A
6ES7 305-1BA80-0AA0,,listed,20.3 PS | PS305 2A
6ES7 307-1EA00-0AA0,,discontinued 08/10,20.3 PS | PS307 5A
6ES7 307-1EA01-0AA0,,listed,20.3 PS | PS307 5A
6ES7 307-1EA80-0AA0,,listed,20.3 PS | PS307 5A
6ES7 307-1KA00-0AA0,,discontinued 04/03,20.3 PS | PS307 10A
6ES7 307-1KA01-0AA0,,discontinued 08/10,20.3 PS | PS307 10A
6ES7 307-1KA02-0AA0,,listed,20.3 PS | PS307 10A
6ES7 321-1BH01-0AA0,,discontinued 10/04,20.4 SM DI | SM321 DI 16xDC24V
6ES7 321-1BH02-0AA0,,listed,20.4 SM DI | SM321 DI 16xDC24V
6ES7 321-1BH10-0AA0,,listed,20.4 SM DI | SM321 DI 16xDC24V
6ES7 321-1BH50-0AA0,,listed,20.4 SM DI | SM321 DI 16xDC24V
6ES7 321-1BH81-0AA0,,discontinued 10/00,20.4 SM DI | SM321 DI 16xDC24V
6ES7 321-1BH82-0AA0,,discontinued 11/03,20.4 SM DI | SM321 DI 16xDC24V
6ES7 321-1BL00-0AA0,,listed,20.4 SM DI | SM321 DI 32xDC24V
6ES7 321-1BL80-0AA0,,discontinued 11/03,20.4 SM DI | SM321 DI 32xDC24V
6ES7 321-1BP00-0AA0,,listed,20.4 SM DI | SM321 DI 64xDC24V
6ES7 321-1CH00-0AA0,,listed,20.4 SM DI | SM321 DI 16xAC/DC24..48V
6ES7 321-1CH20-0AA0,,listed,20.4 SM DI | SM321 DI 16xDC48..120V
6ES7 321-1CH80-0AA0,,discontinued 11/03,20.4 SM DI | SM321 DI 16xDC48..120V
6ES7 321-1EH01-0AA0,,discontinued 09/01,20.4 SM DI | SM321 DI 16xAC120V
6ES7 321-1EL00-0AA0,,listed,20.4 SM DI | SM321 DI 32xAC120V
6ES7 321-1FF01-0AA0,,listed,20.4 SM DI | SM321 DI 8xAC230V
6ES7 321-1FF10-0AA0,,listed,20.4 SM DI | SM321 DI 8xAC120/230V
6ES7 321-1FF81-0AA0,,discontinued 11/03,20.4 SM DI | SM321 DI 8xAC120/230V
6ES7 321-1FH00-0AA0,,listed,20.4 SM DI | SM321 DI 16xAC120V/230V
6ES7 321-7BH00-0AB0,,discontinued 08/03,"20.4 SM DI | SM321 DI 16xDC24V, Alarm"
6ES7 321-7BH01-0AB0,,listed,"20.4 SM DI | SM321 DI 16xDC24V, Alarm"
6ES7 321-7BH80-0AB0,,discontinued 08/03,"20.4 SM DI | SM321 DI 16xDC24V, Alarm"
6ES7 321-7EH00-0AB0,,listed,20.4 SM DI | SM321 DI 16xDC24-125V
6ES7 321-7RD00-0AB0,,listed,"20.4 SM DI | SM321 DI 4xNAMUR, Ex"
6ES7 321-7TH00-0AB0,,listed,20.4 SM DI | SM321 DI 16xNAMUR
6ES7 322-1BF01-0AA0,,listed,20.5 SM DO | SM322 DO 8xDC24V/2A
6ES7 322-1BH01-0AA0,,listed,20.5 SM DO | SM322 DO 16xDC24V/0.5A
6ES7 322-1BH10-0AA0,,listed,20.5 SM DO | SM322 DO 16xDC24V/0.5A
6ES7 322-1BH81-0AA0,,discontinued 11/03,20.5 SM DO | SM322 DO 16xDC24V/0.5A
6ES7 322-1BL00-0AA0,,listed,20.5 SM DO | SM322 DO 32xDC24V/0.5A
6ES7 322-1BP00-0AA0,,listed,20.5 SM DO | SM322 DO 64xDC24V/0.3A
6ES7 322-1BP50-0AA0,,listed,20.5 SM DO | SM322 DO 64xDC24V/0.3A
6ES7 322-1CF00-0AA0,,listed,20.5 SM DO | SM322 DO 8xDC48..120V/1.5A
6ES7 322-1CF80-0AA0,,discontinued 11/03,20.5 SM DO | SM322 DO 8xDC48..120V/1.5A
6ES7 322-1EH01-0AA0,,discontinued 01/02,20.5 SM DO | SM322 DO 16xAC120V/0.5A
6ES7 322-1EL00-0AA0,,discontinued 10/04,20.5 SM DO | SM322 DO 32xAC120V/1A
6ES7 322-1FF01-0AA0,,listed,20.5 SM DO | SM322 DO 8xAC230V/2A
6ES7 322-1FF81-0AA0,,discontinued 10/03,20.5 SM DO | SM322 DO 8xAC120/230V/1A
6ES7 322-1FH00-0AA0,,listed,20.5 SM DO | SM322 DO 16xAC120V/230V/0.5A
6ES7 322-1FL00-0AA0,,listed,20.5 SM DO | SM322 DO 32xAC120V/230V/1A
6ES7 322-1HF01-0AA0,,listed,20.5 SM DO | SM322 DO 8xRel. AC230V
6ES7 322-1HF10-0AA0,,listed,20.5 SM DO | SM322 DO 8xRel. AC 230V/5A
6ES7 322-1HF20-0AA0,,discontinued 07/02,20.5 SM DO | SM322 DO 8xRel. AC 24V/5A
6ES7 322-1HF80-0AA0,,discontinued 11/03,20.5 SM DO | SM322 DO 8xRel. DC24V/AC230V/5A
6ES7 322-1HH00-0AA0,,discontinued 07/02,20.5 SM DO | SM322 DO 16xRel. AC120V
6ES7 322-1HH01-0AA0,,listed,20.5 SM DO | SM322 DO 16xRel. AC120V/230V
6ES7 322-5FF00-0AB0,,listed,20.5 SM DO | SM322 DO 8xAC120/230V/2A
6ES7 322-5GH00-0AB0,,listed,20.5 SM DO | SM322 DO 16xUC24/48V
6ES7 322-5HF00-0AB0,,listed,20.5 SM DO | SM322 DO 8xRel AC230V
6ES7 322-5RD00-0AB0,,listed,"20.5 SM DO | SM322 DO 4xDC15V/20mA, Ex"
6ES7 322-5SD00-0AB0,,listed,"20.5 SM DO | SM322 DO 4xDC24V/10mA, Ex"
6ES7 322-8BF00-0AB0,,listed,"20.5 SM DO | SM322 DO 8xDC24V/0,5A"
6ES7 322-8BF80-0AB0,,discontinued 11/03,"20.5 SM DO | SM322 DO 8xDC24V/0,5A"
6ES7 322-8BH00-0AB0,,discontinued 12/03,"20.5 SM DO | SM322 DO 16xDC24V/0,5A"
6ES7 322-8BH01-0AB0,,discontinued 10/16,"20.5 SM DO | SM322 DO 16xDC24V/0,5A"
6ES7 322-8BH10-0AB0,,listed,"20.5 SM DO | SM322 DO 16xDC24V/0,5A"
6ES7 323-1BH01-0AA0,,listed,20.6 SM DI/DO | SM323
6ES7 323-1BH81-0AA0,,listed,20.6 SM DI/DO | SM323
6ES7 326-1BK00-0AB0,,discontinued 04/06,20.7 SM DI-F | SM 326 DI 24x24VDC
6ES7 326-1BK01-0AB0,,discontinued 09/09,20.7 SM DI-F | SM 326 DI 24xDC24V
6ES7 326-1BK02-0AB0,,listed,20.7 SM DI-F | SM 326 DI 24xDC24V
6ES7 326-1RF00-0AB0,,discontinued 05/14,"20.7 SM DI-F | SM 326 DI 8xNAMUR, Ex(i)"
6ES7 326-1RF01-0AB0,,listed,"20.7 SM DI-F | SM 326 DI 8xNAMUR, Ex(i)"
6ES7 326-2BF00-0AB0,,discontinued 04/03,20.8 SM DO-F | SM 326 DO 10x24VDC/2A
6ES7 326-2BF01-0AB0,,discontinued 10/14,20.8 SM DO-F | SM326 DO 10xDC24V/2A
6ES7 326-2BF10-0AB0,,listed,20.8 SM DO-F | SM326 DO 10xDC24V/2A
6ES7 326-2BF40-0AB0,,discontinued 09/09,20.8 SM DO-F | SM 326F DO 8xDC24V/2A
6ES7 326-2BF41-0AB0,,listed,20.8 SM DO-F | SM 326F DO 8xDC24V/2A
6ES7 331-1KF00-0AB0,,discontinued 10/03,20.9 SM AI | SM331 AI 8x13Bit
6ES7 331-1KF01-0AB0,,discontinued 01/10,20.9 SM AI | SM331 AI 8x13Bit
6ES7 331-1KF02-0AB0,,listed,20.9 SM AI | SM331 AI 8x13Bit
6ES7 331-7HF01-0AB0,,listed,20.9 SM AI | SM331 AI 8x14Bit
6ES7 331-7KB01-0AB0,,discontinued 10/04,20.9 SM AI | SM331 AI 2x12Bit
6ES7 331-7KB02-0AB0,,listed,20.9 SM AI | SM331 AI 2x12Bit
6ES7 331-7KB81-0AB0,,discontinued 05/01,20.9 SM AI | SM331 AI 2x12Bit
6ES7 331-7KB82-0AB0,,discontinued 11/03,20.9 SM AI | SM331 AI 2x12Bit
6ES7 331-7KF01-0AB0,,discontinued 02/05,20.9 SM AI | SM331 AI 8x12Bit
6ES7 331-7KF02-0AB0,,listed,20.9 SM AI | SM331 AI 8x12Bit
6ES7 331-7NF00-0AB0,,listed,20.9 SM AI | SM331 AI 8x16Bit
6ES7 331-7NF10-0AB0,,listed,20.9 SM AI | SM331 AI 8x16Bit
6ES7 331-7PE10-0AB0,,listed,20.9 SM AI | SM331 AI 6xTC
6ES7 331-7PF00-0AB0,,discontinued 04/05,20.9 SM AI | SM331 AI 8xRTD
6ES7 331-7PF01-0AB0,,listed,20.9 SM AI | SM331 AI 8xRTD
6ES7 331-7PF10-0AB0,,discontinued 07/05,20.9 SM AI | SM331 AI 8xTC
6ES7 331-7PF11-0AB0,,listed,20.9 SM AI | SM331 AI 8xTC
6ES7 331-7RD00-0AB0,,listed,"20.9 SM AI | SM331 AI 4x0/4...20mA, Ex"
6ES7 331-7SF00-0AB0,,listed,"20.9 SM AI | SM331 AI 8xTC/4xRTD, Ex"
6ES7 331-7TB00-0AB0,,discontinued 10/16,"20.9 SM AI | SM331 AI 2x0/4..20mA HART, Ex"
6ES7 331-7TB10-0AB0,,listed,"20.9 SM AI | SM331 AI 2x0/4..20mA HART, Ex"
6ES7 331-7TF00-0AB0,,discontinued 10/07,20.9 SM AI | SM331 AI 8x0/4...20mA HART
6ES7 331-7TF01-0AB0,V2.x,listed,20.9 SM AI | SM331 AI 8x0/4...20mA HART
6ES7 331-7TF01-0AB0,V3.x,listed,20.9 SM AI | SM331 AI 8x0/4...20mA HART
6ES7 332-5HB01-0AB0,,listed,20.10 SM AO | SM332 AO 2x12Bit
6ES7 332-5HB81-0AB0,,discontinued 11/03,20.10 SM AO | SM332 AO 2x12Bit
6ES7 332-5HD01-0AB0,,listed,20.10 SM AO | SM332 AO 4x12Bit
6ES7 332-5HF00-0AB0,,listed,20.10 SM AO | SM332 AO 8x12Bit
6ES7 332-5RD00-0AB0,,listed,"20.10 SM AO | SM332 AO 4x0/4...20mA, Ex"
6ES7 332-5TB00-0AB0,,discontinued 10/16,"20.10 SM AO | SM332 AO 2x0/4...20mA, HART, Ex"
6ES7 332-5TB10-0AB0,,listed,"20.10 SM AO | SM332 AO 2x0/4..20mA, HART; Ex"
6ES7 332-7ND00-0AB0,,discontinued 10/04,20.10 SM AO | SM332 AO 4x16Bit
6ES7 332-7ND01-0AB0,,discontinued 01/05,20.10 SM AO | SM332 AO 4x16Bit
6ES7 332-7ND02-0AB0,,listed,20.10 SM AO | SM332 AO 4x16Bit
6ES7 332-8TF00-0AB0,,discontinued 11/07,20.10 SM AO | SM332 AO 8x0/4...20mA HART
6ES7 332-8TF01-0AB0,V2.x,listed,20.10 SM AO | SM332 AO 8x0/4...20mA HART
6ES7 332-8TF01-0AB0,V3.x,listed,20.10 SM AO | SM332 AO 8x0/4...20mA HART
6ES7 336-1HE00-0AB0,,discontinued 10/08,20.11 SM AI-F | SM336 AI 6x13Bit
6ES7 336-4GE00-0AB0,,listed,20.11 SM AI-F | SM336 AI 6 HART
6ES7 650-1AC10-3XX0,,discontinued 02/08,20.12 SM MTA | MTA 16 channels DI standard
6ES7 650-1AC11-3XX0,,listed,20.12 SM MTA | MTA 16 channels DI standard
6ES7 650-1AA50-2XX0,,discontinued 02/08,20.12 SM MTA | MTA 8 channels AI standard
6ES7 650-1AA51-2XX0,,discontinued 02/13,20.12 SM MTA | MTA 8 channels AI standard
6ES7 650-1AA61-2XX0,,listed,20.12 SM MTA | MTA 8 channels AI-HART standard
6ES7 650-1AB50-2XX0,,discontinued 02/08,20.12 SM MTA | MTA 8 channels AO standard
6ES7 650-1AB51-2XX0,,listed,20.12 SM MTA | MTA 8 channels AO standard
6ES7 650-1AB61-2XX0,,listed,20.12 SM MTA | MTA 8 channels AO-HART standard
6ES7 650-1AF50-2XX0,,discontinued 02/08,20.12 SM MTA | MTA 8 channels TC standard
6ES7 650-1AF51-2XX0,,listed,20.12 SM MTA | MTA 8 channels TC standard
6ES7 650-1AG50-2XX0,,discontinued 02/08,20.12 SM MTA | MTA 8 channels RTD standard
6ES7 650-1AG51-2XX0,,listed,20.12 SM MTA | MTA 8 channels RTD standard
6ES7 650-1AK10-7XX0,,discontinued 02/08,20.12 SM MTA | MTA 24 channels F-DI (fail-safe)
6ES7 650-1AK11-7XX0,,listed,20.12 SM MTA | MTA 24 channels F-DI (fail-safe)
6ES7 650-1AD10-2XX0,,discontinued 10/17,20.12 SM MTA | MTA 16 channels DO Standard
6ES7 650-1AD11-2XX0,,listed,20.12 SM MTA | MTA 16 channels DO Standard
6ES7 650-1AL10-6XX0,,discontinued 02/08,20.12 SM MTA | MTA 10 channels F-DO (fail-safe)
6ES7 650-1AL11-6XX0,,listed,20.12 SM MTA | MTA 10 channels F-DO (fail-safe)
6ES7 650-1AM30-3XX0,,listed,20.12 SM MTA | MTA 16 channels DO (relay)
6ES7 650-1AM30-6XX0,,discontinued 11/07,20.12 SM MTA | MTA 10 channels DO (relay)
6ES7 650-1AM31-6XX0,,listed,"20.12 SM MTA | MTA 10 channels F-DO (fail-safe, relay)"
6ES7 650-1AH50-5XX0,,discontinued 02/08,20.12 SM MTA | MTA 6 channels F-AI (fail-safe)
6ES7 650-1AH51-5XX0,,discontinued 02/08,20.12 SM MTA | MTA 6 channels F-AI (fail-safe)
6ES7 650-1AH61-5XX0,,discontinued 02/13,20.12 SM MTA | MTA 6 channels F-AI (fail-safe)
6ES7 650-1AH62-5XX0,,listed,20.12 SM MTA | MTA 6 channels F-AI (fail-safe)
6ES7 650-1BA01-0XX0,,discontinued 05/08,20.12 SM MTA | Redundant power monitor
6ES7 650-1BA02-0XX0,,listed,20.12 SM MTA | Redundant power monitor
6ES7 650-1BB51-0XX0,,discontinued 10/16,20.12 SM MTA | 5.6 V Zener diode board
6ES7 650-1BC51-0XX0,,discontinued 10/16,20.12 SM MTA | 6.2 V Zener diode board
6ES7 650-1BD51-0XX0,,discontinued 01/11,20.12 SM MTA | FET switch adapter
6ES7 410-5HX08-0AB0,V8.3,listed,21.1 CPU as of 03/25 (as of PCS 7 V10.0.1) | CPU 410-5H Process auto mation
6ES7 410-5HN08-0AB0,V8.3,listed,21.1 CPU as of 03/25 (as of PCS 7 V10.0.1) | CPU 410 SMART process automation
6ES7 410-5HM08-0AB0,V8.3,listed,21.1 CPU as of 03/25 (as of PCS 7 V10.0.1) | CPU 410E Process automa tion
6ES7 410-5HX08-0AB0,V8.2.x,listed,21.2 CPU as of 05/17 (as of PCS 7 V9.0) | CPU 410-5H Process auto mation
6ES7 410-5HN08-0AB0,V8.2.x,listed,21.2 CPU as of 05/17 (as of PCS 7 V9.0) | CPU 410 SMART process automation
6ES7 410-5HM08-0AB0,V8.2.x,listed,21.2 CPU as of 05/17 (as of PCS 7 V9.0) | CPU 410E Process automa tion
6ES7 414-3XM07-0AB0,V7.0,listed,21.3 CPU as of 02/16 (as of PCS 7 V8.2) | CPU 414-3 DP
6ES7 414-3EM07-0AB0,V7.0,listed,21.3 CPU as of 02/16 (as of PCS 7 V8.2) | CPU 414-3 PN/DP
6ES7 416-2XP07-0AB0,V7.0,listed,21.3 CPU as of 02/16 (as of PCS 7 V8.2) | CPU 416-2 DP
6ES7 416-3XS07-0AB0,V7.0,listed,21.3 CPU as of 02/16 (as of PCS 7 V8.2) | CPU 416-3 DP
6ES7 416-3ES07-0AB0,V7.0,listed,21.3 CPU as of 02/16 (as of PCS 7 V8.2) | CPU 416-3 PN/DP
6ES7 417-4XT07-0AB0,V7.0,listed,21.3 CPU as of 02/16 (as of PCS 7 V8.2) | CPU 417-4
6ES7 410-5HX08-0AB0,V8.1.x,listed,21.4 CPU as of 09/14 (as of PCS 7 V8.1) | CPU 410-5H process automation
6ES7 410-5HN08-0AB0,V8.1.x,listed,21.4 CPU as of 09/14 (as of PCS 7 V8.1) | CPU 410 SMART proc ess automation
6ES7 410-5HX08-0AB0,V8.0.x,listed,21.5 CPU as of 06/13 (as of PCS 7 V8.0.2) | CPU 410-5H process automation
6ES7 412-5HK06-0AB0,V6.x,listed,21.6 H-CPU as of 12/11 (as of PCS 7 V8.0) | CPU 412-5H PN/DP
6ES7 414-5HM06-0AB0,V6.x,listed,21.6 H-CPU as of 12/11 (as of PCS 7 V8.0) | CPU 414-5H PN/DP
6ES7 416-5HS06-0AB0,V6.x,listed,21.6 H-CPU as of 12/11 (as of PCS 7 V8.0) | CPU 416-5H PN/DP
6ES7 417-5HT06-0AB0,V6.x,listed,21.6 H-CPU as of 12/11 (as of PCS 7 V8.0) | CPU 417-5H PN/DP
6ES7 414-3EM06-0AB0,V6.x,discontinued 10/16,21.7 CPU as of 08/10 (as of PCS 7 V7.1.2) | CPU 414-3 PN/DP
6ES7 416-3ES06-0AB0,V6.x,discontinued 10/16,21.7 CPU as of 08/10 (as of PCS 7 V7.1.2) | CPU 416-3 PN/DP
6ES7 412-3HJ14-0AB0,V4.5,discontinued 02/17,21.8 H-CPU as of 09/07 (as of PCS 7 V7.0.1) | CPU 412-3H
6ES7 414-4HM14-0AB0,V4.5,discontinued 02/17,21.8 H-CPU as of 09/07 (as of PCS 7 V7.0.1) | CPU 414-4H
6ES7 417-4HT14-0AB0,V4.5,discontinued 02/17,21.8 H-CPU as of 09/07 (as of PCS 7 V7.0.1) | CPU 417-4H
6ES7 414-3XM05-0AB0,V5.0,discontinued 02/16,21.9 CPU as of 12/06 (as of PCS 7 V7.0) | CPU 414-3 DP
6ES7 414-3XM05-0AB0,V5.1,discontinued 02/16,21.9 CPU as of 12/06 (as of PCS 7 V7.0) | CPU 414-3 DP
6ES7 414-3XM05-0AB0,V5.3.x,discontinued 02/16,21.9 CPU as of 12/06 (as of PCS 7 V7.0) | CPU 414-3 DP
6ES7 414-3EM05-0AB0,V5.0,discontinued 10/11,21.9 CPU as of 12/06 (as of PCS 7 V7.0) | CPU 414-3 PN/DP
6ES7 414-3EM05-0AB0,V5.1,discontinued 10/11,21.9 CPU as of 12/06 (as of PCS 7 V7.0) | CPU 414-3 PN/DP
6ES7 414-3EM05-0AB0,V5.3.x,discontinued 10/11,21.9 CPU as of 12/06 (as of PCS 7 V7.0) | CPU 414-3 PN/DP
6ES7 416-2XN05-0AB0,V5.0,discontinued 02/16,21.9 CPU as of 12/06 (as of PCS 7 V7.0) | CPU 416-2 DP
6ES7 416-2XN05-0AB0,V5.1,discontinued 02/16,21.9 CPU as of 12/06 (as of PCS 7 V7.0) | CPU 416-2 DP
6ES7 416-2XN05-0AB0,V5.3.x,discontinued 02/16,21.9 CPU as of 12/06 (as of PCS 7 V7.0) | CPU 416-2 DP
6ES7 416-3XR05-0AB0,V5.0,discontinued 02/16,21.9 CPU as of 12/06 (as of PCS 7 V7.0) | CPU 416-3 DP
6ES7 416-3XR05-0AB0,V5.1,discontinued 02/16,21.9 CPU as of 12/06 (as of PCS 7 V7.0) | CPU 416-3 DP
6ES7 416-3XR05-0AB0,V5.3.x,discontinued 02/16,21.9 CPU as of 12/06 (as of PCS 7 V7.0) | CPU 416-3 DP
6ES7 416-3ER05-0AB0,V5.0,discontinued 10/11,21.9 CPU as of 12/06 (as of PCS 7 V7.0) | CPU 416-3 PN/DP
6ES7 416-3ER05-0AB0,V5.1,discontinued 10/11,21.9 CPU as of 12/06 (as of PCS 7 V7.0) | CPU 416-3 PN/DP
6ES7 416-3ER05-0AB0,V5.3.x,discontinued 10/11,21.9 CPU as of 12/06 (as of PCS 7 V7.0) | CPU 416-3 PN/DP
6ES7 417-4XT05-0AB0,V5.0,discontinued 10/16,21.9 CPU as of 12/06 (as of PCS 7 V7.0) | CPU 417-4 DP
