mlfb,fw,status,note
6ES7 153-2BA70-0XB0,,listed,5.1 IM | ET 200M- IM 153-2
6ES7 153-2BA10-0XB0,,listed,5.1 IM | ET 200M- IM 153-2
6ES7 195-1KA00-0XA0,,listed,5.2 Accessories | Partition
6ES7 195-7HA00-0XA0,,listed,5.2 Accessories | Bus module
6ES7 195-7HB00-0XA0,,listed,5.2 Accessories | Bus module
6ES7 195-7HC00-0XA0,,listed,5.2 Accessories | Bus module
6ES7 195-7HD00-0XA0,,discontinued 07/04,5.2 Accessories | BM IM/IM
6ES7 195-7HD10-0XA0,,listed,5.2 Accessories | BM IM/IM
6ES7 195-7HG00-0XA0,,listed,5.2 Accessories | F separator bus mod ule
6ES7 195-7KF00-0XA0,,listed,5.2 Accessories | F separator module
6ES7655-5PX31-1XX0,,listed,6.1 Compact field unit | SIMATIC CFU DIQ
6ES7655-5PX11-1XX0,,listed,6.1 Compact field unit | SIMATIC CFU PA
6ES7655-5PX41-1XX0,,listed,6.1 Compact field unit | SIMATIC CFU CIO HART
6DL1164-6TH00-0PH1,,listed,7.1 AI | AI 16xI 2-wire HART PA
6DL1164-6JH00-0PH1,,listed,7.1 AI | AI 16xTC/8xRTD 2-/3-/4- wire PA
6DL1164-6GH00-0PH1,,listed,7.1 AI | AI 16xI 2-wire PA
6DL1165-6TF00-0PH1,,listed,7.2 AQ | AQ 8xI HART PA
6DL1161-6BH00-0PH1,,listed,7.3 DI | DI 16x24VDC PA
6DL1161-6BL00-0PH1,,listed,7.3 DI | DI 32x24VDC PA
6DL1161-6BL00-0AH1,,listed,7.3 DI | DI 32x24VDC LC PA
6DL1162-6BH00-0PH1,,listed,7.4 DQ | DQ 16x24VDC/0.5A PA
6DL1162-6BL00-0PH1,,listed,7.4 DQ | DQ 32x24VDC/0.5A PA
6DL1162-6BL00-0AH1,,listed,7.4 DQ | DQ 32x24VDC/0.5A LC PA
6DL1165-6AU00-0PM0,,listed,7.5 IM | ET 200PA SMART+ IM155-6 PN
6DL1163-6AR00-0AA0,,listed,7.6 BusAdapter | SMART+ BA 2xRJ45
6ES7 650-8AE60-0AA0,,listed,8.1 AI | AI8
6ES7 650-8AE60-1AA0,,listed,8.1 AI | AI8
6ES7 650-8AK60-0AA0,,listed,8.1 AI | AI8 Diag
6ES7 650-8AK60-1AA0,,listed,8.1 AI | AI8 Diag
6ES7 650-8AK70-0AA0,,listed,8.1 AI | AI16 Diag
6ES7 650-8AK70-1AA0,,listed,8.1 AI | AI16 Diag
6ES7 650-8AR60-0AA0,,listed,8.1 AI | AI TC/RTD
6ES7 650-8AR60-1AA0,,listed,8.1 AI | AI TC/RTD
6ES7 650-8AT60-0AA0,,listed,8.1 AI | AI8 HART
6ES7 650-8AT60-1AA0,,listed,8.1 AI | AI8 HART
6ES7 650-8BK60-0AA0,,listed,8.2 AO | AO8 Diag
6ES7 650-8BK60-1AA0,,listed,8.2 AO | AO8 Diag
6ES7 650-8BT60-0AA0,,listed,8.2 AO | AO8 HART
6ES7 650-8BT60-1AA0,,listed,8.2 AO | AO8 HART
6ES7 650-8DK80-0AA0,,listed,8.3 DI | DI32
6ES7 650-8DK80-1AA0,,listed,8.3 DI | DI32
6ES7 650-8DK70-0AA0,,listed,8.3 DI | DI16
6ES7 650-8DK70-1AA0,,listed,8.3 DI | DI16
6ES7 650-8EK80-0AA0,,listed,8.4 DO | DO32
6ES7 650-8EK80-1AA0,,listed,8.4 DO | DO32
6ES7 650-8EK70-0AA0,,listed,8.4 DO | DO16
6ES7 650-8EK70-1AA0,,listed,8.4 DO | DO16
6ES7 650-8PH00-0AA0,,listed,8.5 IM | IM 650-8
6ES7 650-8PH00-1AA0,,listed,8.5 IM | IM 650-8
6ES7 650-8PA00-0AA0,,listed,8.6 Accessories | Bus module PS/IM
6ES7 650-8PA00-1AA0,,listed,8.6 Accessories | Bus module PS/IM
